Ground truth pos_x: 10.030000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.060000, Ground truth v_y: 6.000000, Measurement pos_x: 9.778093 , Measurement pos_y: 19.788213, Estimated pos_x: 0.000000, Estimated v_x: 0.000000, Estimated pos_y: 0.000000, Estimated v_y: 0.000000, Kalman gain1: 0.000000, Kalman gain2: 0.000000, Time taken for Kalman Filter: 0.019000 seconds
Ground truth pos_x: 10.060000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.120000, Ground truth v_y: 6.000000, Measurement pos_x: 10.024257 , Measurement pos_y: 19.935610, Estimated pos_x: 9.682239, Estimated v_x: 0.095854, Estimated pos_y: 19.594230, Estimated v_y: 0.193983, Kalman gain1: 0.990197, Kalman gain2: 0.009803, Time taken for Kalman Filter: 0.037000 seconds
Ground truth pos_x: 10.090000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.180000, Ground truth v_y: 6.000000, Measurement pos_x: 10.199107 , Measurement pos_y: 20.346339, Estimated pos_x: 9.910589, Estimated v_x: 0.211762, Estimated pos_y: 19.822482, Estimated v_y: 0.309351, Kalman gain1: 0.666721, Kalman gain2: 0.339846, Time taken for Kalman Filter: 0.058000 seconds
Ground truth pos_x: 10.120000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.240000, Ground truth v_y: 6.000000, Measurement pos_x: 9.982303 , Measurement pos_y: 20.427795, Estimated pos_x: 10.092388, Estimated v_x: 0.356503, Estimated pos_y: 20.152294, Estimated v_y: 0.573230, Kalman gain1: 0.627378, Kalman gain2: 0.505381, Time taken for Kalman Filter: 0.076000 seconds
Ground truth pos_x: 10.150000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.300000, Ground truth v_y: 6.000000, Measurement pos_x: 10.232183 , Measurement pos_y: 20.476784, Estimated pos_x: 10.025227, Estimated v_x: 0.291045, Estimated pos_y: 20.325911, Estimated v_y: 0.729796, Kalman gain1: 0.622311, Kalman gain2: 0.575962, Time taken for Kalman Filter: 0.095000 seconds
Ground truth pos_x: 10.180000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.360000, Ground truth v_y: 6.000000, Measurement pos_x: 9.623572 , Measurement pos_y: 19.922725, Estimated pos_x: 10.155011, Estimated v_x: 0.414270, Estimated pos_y: 20.422489, Estimated v_y: 0.817774, Kalman gain1: 0.621791, Kalman gain2: 0.603910, Time taken for Kalman Filter: 0.115000 seconds
Ground truth pos_x: 10.210000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.420000, Ground truth v_y: 6.000000, Measurement pos_x: 10.545629 , Measurement pos_y: 20.762865, Estimated pos_x: 9.826131, Estimated v_x: 0.085099, Estimated pos_y: 20.114794, Estimated v_y: 0.498409, Kalman gain1: 0.621797, Kalman gain2: 0.614605, Time taken for Kalman Filter: 0.133000 seconds
Ground truth pos_x: 10.240000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.480000, Ground truth v_y: 6.000000, Measurement pos_x: 10.409585 , Measurement pos_y: 20.129540, Estimated pos_x: 10.273857, Estimated v_x: 0.529657, Estimated pos_y: 20.519736, Estimated v_y: 0.908992, Kalman gain1: 0.621828, Kalman gain2: 0.618603, Time taken for Kalman Filter: 0.152000 seconds
Ground truth pos_x: 10.270000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.540000, Ground truth v_y: 6.000000, Measurement pos_x: 10.229917 , Measurement pos_y: 20.562561, Estimated pos_x: 10.360261, Estimated v_x: 0.610529, Estimated pos_y: 20.280476, Estimated v_y: 0.651125, Kalman gain1: 0.621844, Kalman gain2: 0.620045, Time taken for Kalman Filter: 0.171000 seconds
Ground truth pos_x: 10.300000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.600000, Ground truth v_y: 6.000000, Measurement pos_x: 10.911229 , Measurement pos_y: 20.273178, Estimated pos_x: 10.281515, Estimated v_x: 0.525860, Estimated pos_y: 20.458402, Estimated v_y: 0.830885, Kalman gain1: 0.621850, Kalman gain2: 0.620517, Time taken for Kalman Filter: 0.190000 seconds
Ground truth pos_x: 10.330000, Ground truth v_x: 3.000000, Ground truth pos_y: 20.660000, Ground truth v_y: 6.000000, Measurement pos_x: 10.356944 , Measurement pos_y: 20.294605, Estimated pos_x: 10.675092, Estimated v_x: 0.913411, Estimated pos_y: 20.346320, Estimated v_y: 0.703448, Kalman gain1: 0.621852, Kalman gain2: 0.620623, Time taken for Kalman Filter: 0.210000 seconds
